text,label
"Estou com dúvidas sobre a aplicação da nova política de viagens corporativas. Especificamente, o limite de diárias para hotéis 4 estrelas em cidades com mais de 1 milhão de habitantes. Poderiam me enviar o trecho exato da política que cobre esta exceção? Preciso reservar o hotel para a viagem de amanhã.",Produtivo
"O resultado do teste A/B na homepage (Variação B) gerou um aumento de 20% no CTR, mas o tempo de permanência na página caiu 10 segundos. Isso sugere um problema na relevância do conteúdo após o clique. Sugiro pausar a Variação B e abrir um chamado com o time de UX para analisar o fluxo de usuários. Concordam com a pausa?",Produtivo
"Time de Vendas, a licença do nosso software de CRM expira na próxima semana e o setor de Compras precisa da requisição de renovação com o número exato de licenças. Peço que confirmem se 50 licenças ainda são suficientes ou se precisamos de um acréscimo de 5 unidades, considerando as novas contratações. Resposta necessária em até 48h.",Produtivo
"Solicito o acesso de 'Super Usuário' ao painel de administração do site para realizar a migração dos certificados SSL. Não consigo completar a tarefa com minhas credenciais atuais, pois falta a permissão de 'Configurações de Rede'. Por favor, liberem a permissão ou realizem a migração em meu nome, se for mais rápido.",Produtivo
"O Gerente de Produto solicitou a criação de um novo repositório Git para o projeto de inteligência artificial. Por favor, criem o repositório 'IA-Recomendacao-v2' e adicionem os desenvolvedores João e Maria como colaboradores com permissão de 'Push'. A chave SSH será adicionada por mim posteriormente.",Produtivo
"Preciso de uma cotação para o serviço de tradução juramentada de 50 documentos técnicos do inglês para o português. Favor incluir no orçamento os prazos de entrega para os formatos 'Normal' (5 dias) e 'Urgente' (48 horas). O orçamento deve ser enviado até o meio-dia.",Produtivo
"O projeto de implementação do novo sistema de RH está 3 dias atrasado. O marco 'Migração de Dados' foi concluído, mas o 'Treinamento de Usuários' ainda não começou. Qual é o novo cronograma detalhado para as próximas duas semanas? Preciso dessa atualização para reportar à diretoria.",Produtivo
"A fatura de telefone deste mês está 30% mais alta sem justificativa. Anexei a fatura detalhada. Favor, entrar em contato com a operadora para solicitar uma explicação e um estorno do valor excedente. O prazo para resposta é de 5 dias úteis.",Produtivo
"O cliente 'Beta Solutions' solicitou uma reunião para discutir a possibilidade de um contrato de suporte 24/7. Você pode checar sua agenda e sugerir três datas e horários na próxima semana para que eu possa enviar o convite formal?",Produtivo
"O sistema está apresentando falha intermitente ao gerar boletos de pagamento. A taxa de erro é de aproximadamente 1 em cada 10 tentativas. Por favor, investiguem o log do serviço de emissão e enviem um plano de ação para correção imediata.",Produtivo
"Para o próximo evento de lançamento, precisamos de 500 canetas personalizadas e 300 blocos de notas. Por favor, solicitem três orçamentos diferentes de fornecedores e me enviem para aprovação até amanhã.",Produtivo
"Precisamos urgentemente de um backup completo do servidor de e-mails, pois faremos uma atualização crítica no sistema operacional neste fim de semana. Confirme a conclusão do backup antes das 18h de sexta-feira.",Produtivo
"A cliente Maria da Silva ligou dizendo que recebeu o produto errado no pedido 1098. Ela pediu a troca pelo item correto (código XZ-500) com urgência e um código de postagem reversa. Favor providenciar o envio e o código imediatamente.",Produtivo
"Favor, bloquear o acesso à internet de todos os funcionários da área de Produção, exceto para os sites essenciais (e-mail, ERP e ferramentas de desenvolvimento). A produtividade está caindo. A implementação deve ser feita hoje.",Produtivo
"Solicito formalmente a compra de 20 licenças do software 'DesignPro' para a equipe de Criação. O custo total é de R$ 15.000,00. Anexei a aprovação do orçamento pelo CFO. Qual é o prazo para a aquisição?",Produtivo
"Existe um problema de vazamento de memória no módulo de cache do sistema, causando picos de uso da CPU em horários de pico. Por favor, revisem o código-fonte da função de cache e apliquem um patch de correção até o final do dia.",Produtivo
"A Receita Federal notificou nossa empresa sobre pendências na declaração de impostos do ano passado. Anexei a notificação. O time Fiscal deve analisar imediatamente e me reportar o plano para regularização.",Produtivo
"Para a pauta da reunião semanal de projetos, preciso que você prepare um slide de status que inclua: % de conclusão, riscos atuais e as 3 próximas tarefas críticas de cada projeto sob sua responsabilidade.",Produtivo
"O sistema de monitoramento de servidor enviou um alerta de disco cheio (95% de uso) no servidor de logs. Por favor, façam a limpeza de logs antigos e aumentem a capacidade de armazenamento em 200GB.",Produtivo
"O prazo de entrega da campanha de Inverno foi ajustado para a próxima semana. Precisamos antecipar a sessão de fotos. Você pode entrar em contato com o fotógrafo e confirmar a disponibilidade dele para amanhã?",Produtivo
"A senha de acesso do usuário 'sistema_integracao' expirou, e isso interrompeu a comunicação entre o ERP e a plataforma de e-commerce. Favor redefinir a senha e atualizar em ambos os sistemas com urgência.",Produtivo
"Peço que o Time de Treinamento prepare um material didático e agende 3 sessões de treinamento sobre a nova política de segurança de dados para todos os funcionários na próxima semana. Envie a proposta de cronograma.",Produtivo
"A nova regulamentação exige que nosso site tenha um banner de cookies com opção de recusa. O time de Desenvolvimento deve implementar isso hoje. Qual o horário de deploy previsto?",Produtivo
"O saldo do fundo de reserva da empresa está abaixo do limite mínimo estipulado. O time Financeiro deve transferir R$ 50.000,00 da conta corrente principal para o fundo de reserva. Confirme a transferência.",Produtivo
"Estou tendo dificuldade em fazer upload de arquivos maiores que 10MB na plataforma. Há algum limite de tamanho de arquivo configurado que precisa ser ajustado no servidor?",Produtivo
"A cliente Ana Paula pediu a suspensão temporária da assinatura dela por 3 meses, devido a uma viagem. Qual o procedimento interno para pausar a cobrança sem cancelar a conta definitivamente?",Produtivo
"Favor, pesquisar e apresentar 3 opções de software de gestão de mídias sociais que possuam integração nativa com o TikTok e enviar a comparação de preços e funcionalidades até segunda-feira.",Produtivo
"Precisamos de aprovação legal para usar as imagens da campanha no exterior. O time Jurídico pode revisar os termos de uso de imagem e dar o parecer final até o final da semana?",Produtivo
"O relatório de desempenho da equipe deste mês precisa incluir uma coluna com o tempo médio de resposta por agente. O time de BI deve ajustar o relatório e enviar o novo template.",Produtivo
"O sensor de temperatura na sala do servidor principal disparou um alerta. Favor, enviar a equipe de manutenção para verificar o sistema de ar condicionado imediatamente. Confirme a chegada da equipe.",Produtivo
"Para o próximo ciclo de orçamento, precisamos de uma previsão de custos de Cloud Computing para o próximo ano, considerando um crescimento de 20% no tráfego. Envie a projeção detalhada.",Produtivo
"A proposta de valor do nosso produto no site precisa ser atualizada para refletir o novo recurso de IA. O time de Marketing deve reescrever o texto da home e fazer o deploy amanhã.",Produtivo
"O Gerente de Vendas sugeriu implementar uma nova comissão baseada em NPS. O RH precisa criar a documentação desta nova política de remuneração e informar o time de Vendas. Qual o prazo para o comunicado?",Produtivo
"O site está demorando muito para carregar no celular (acima de 5 segundos). O time de Desenvolvimento deve fazer uma auditoria de performance e corrigir os ativos de maior peso. Qual a prioridade disso?",Produtivo
"A licença de uso do software de videoconferência expirou e estamos sem acesso. O time de Compras deve renovar a licença imediatamente para evitar a interrupção das reuniões agendadas.",Produtivo
"Precisamos atualizar o telefone de contato de todos os clientes no CRM, pois a operadora será trocada. O time de Dados deve executar um script de atualização na base de dados.",Produtivo
"O cliente solicitou a inclusão de um novo campo obrigatório no formulário de cadastro. O time de Desenvolvimento deve implementar o campo 'CNPJ' e fazer o deploy na próxima hora. Confirme a alteração.",Produtivo
"Olá [Nome do Cliente], recebi seu e-mail de agradecimento pela rápida solução do problema de login. Fico feliz em saber que conseguimos resolver a situação a tempo. Não é necessária nenhuma resposta ou ação de sua parte. Um abraço!",Improdutivo
"Bom dia, equipe! Vi este TED Talk sobre a importância da 'mentalidade de crescimento' e achei que seria muito inspirador para todos. Compartilho o link para quem quiser assistir no horário de almoço ou no fim de semana. É só para conhecimento!",Improdutivo
"Atenção, a partir de hoje o café da manhã mensal será servido na nova sala de convivência, que fica no 3º andar, ao lado da copa. A mudança é permanente, mas não requer nenhuma ação além de saber o novo local.",Improdutivo
"Apenas informando que a pesquisa de clima organizacional será encerrada hoje às 18h. Se você ainda não respondeu, este é o último lembrete. Se já respondeu, ignore este e-mail. Não há necessidade de confirmação.",Improdutivo
"Parabéns à equipe de Sucesso do Cliente pelo incrível resultado de 95% de NPS (Net Promoter Score) no último trimestre! Isso demonstra o valor do nosso trabalho. É só uma mensagem de reconhecimento, sem pendências.",Improdutivo
"Caros, o time de TI concluiu a atualização dos servidores. Os sistemas devem estar operando normalmente a partir de agora. Este e-mail é apenas para notificar a conclusão do processo. Não há tarefas pendentes.",Improdutivo
"Recebi o rascunho do seu artigo e gostei muito da abordagem. A introdução ficou excelente e o título é chamativo. Não encontrei erros gramaticais. Era só um feedback positivo, você pode seguir para a publicação.",Improdutivo
"Olá a todos, devido a um erro de automação, o e-mail de 'Boas-vindas' pode ter sido enviado duas vezes para alguns de vocês. Peço desculpas pelo incômodo. Desconsidere a mensagem duplicada.",Improdutivo
"Aviso amigável: Não se esqueçam que amanhã é dia de pizza na empresa para celebrarmos a meta batida! O evento é opcional e não altera o horário de trabalho. Esperamos por vocês!",Improdutivo
"Só queria mandar um 'oi' e perguntar se está tudo bem por aí. Vi que você estava ausente ontem e queria garantir que está tudo certo antes de te enviar qualquer demanda.",Improdutivo
"Obrigado por me enviar os relatórios de Março! A informação está clara e bem organizada. Vou arquivar este e-mail para consulta futura. Pode seguir com seus próximos projetos.",Improdutivo
"Feliz Dia do Trabalhador para todos! Que este dia seja de merecido descanso e celebração. Retornamos com força total amanhã. Aproveitem o feriado!",Improdutivo
"Anexei a lista de feriados nacionais e pontos facultativos para o próximo ano. É um material informativo para que todos possam planejar suas férias. Não há nenhuma ação a ser tomada agora.",Improdutivo
"Compartilhando um estudo de caso interessante que encontrei sobre a concorrência. Não é para ser discutido em reunião, apenas para fins de leitura e referência pessoal.",Improdutivo
"O sistema gerou automaticamente seu relatório de horas extras do mês. Ele está anexo. Não é necessário fazer nada se os dados estiverem corretos. Se houver divergências, entre em contato.",Improdutivo
"O time de Marketing enviou a nova versão do logo. Não há necessidade de atualizar nos sistemas imediatamente, mas podem salvar a nova versão para uso em materiais futuros.",Improdutivo
"Aviso de que as inscrições para o curso de culinária na empresa foram encerradas. Os inscritos receberão o cronograma em um e-mail separado. Este e-mail é apenas informativo para os demais.",Improdutivo
"Gostaria de agradecer a todos pelo empenho na organização do último evento. Foi um sucesso estrondoso graças ao esforço coletivo! O álbum de fotos está no link abaixo.",Improdutivo
"A notificação de encerramento de contrato do cliente XYZ é apenas para seu conhecimento. O financeiro já está ciente e o processo de offboarding foi iniciado. Não há tarefas para você.",Improdutivo
"Seja muito bem-vindo, Lucas! Espero que goste de trabalhar com a nossa equipe. Se precisar de algo nos primeiros dias, é só me procurar. Um e-mail mais formal será enviado pelo RH.",Improdutivo
"Encontrei esta playlist de músicas instrumentais que ajuda muito a manter o foco. Compartilho com vocês caso alguém queira testar. É só uma dica de produtividade.",Improdutivo
"Lembrete amigável: Hoje é o último dia para usar o cupom de desconto de 15% na nossa loja virtual, exclusivo para funcionários. Aproveitem!",Improdutivo
"Obrigado por ter me cedido seu horário para a reunião com o cliente. Valorizo muito sua flexibilidade! Era só um agradecimento sincero.",Improdutivo
"O sistema de reserva de salas de reunião passou por uma atualização visual. O processo de reserva continua o mesmo, só o layout mudou. Não precisa de treinamento.",Improdutivo
"Mensagem de felicitações pela sua promoção! Você merece muito. Espero que tenhamos a oportunidade de trabalhar juntos novamente em breve. Tudo de bom!",Improdutivo
"Apenas para notificar que a temperatura da sala de servidores está normalizada após o breve pico de ontem. A intervenção técnica foi bem-sucedida. Não há riscos.",Improdutivo
"Caros colaboradores, os novos cartões de acesso já estão disponíveis para retirada na recepção. O cartão antigo será desativado na próxima semana. Podem retirar no momento que for conveniente.",Improdutivo
"Queria compartilhar que o nosso projeto foi citado em um artigo de uma revista especializada. É um grande reconhecimento para o time. Fico muito orgulhoso!",Improdutivo
"O time de P&D concluiu os testes de estresse no novo módulo. Os resultados foram satisfatórios e ele pode seguir para homologação. Apenas um status informativo.",Improdutivo
"Aviso: a impressora do 5º andar está temporariamente fora de serviço devido à falta de toner. O material de reposição já foi solicitado e deve chegar amanhã. Use a impressora do 6º andar, por enquanto.",Improdutivo
"Olá, sua reserva de férias para a primeira quinzena de Janeiro foi aprovada pelo sistema. Este é apenas o e-mail de confirmação automática. Aproveite o descanso!",Improdutivo
"Compartilhando uma notícia interessante sobre a regulamentação do nosso setor na Europa. Não tem impacto direto no nosso trabalho hoje, mas é bom para termos em mente.",Improdutivo
"Gostei muito do slide que você usou na apresentação de hoje. Aquele gráfico de dispersão foi muito eficaz. Era apenas um elogio ao seu trabalho.",Improdutivo
"A reunião com o cliente 'Gamma' foi cancelada e não será reagendada. O projeto foi paralisado por tempo indeterminado. Por favor, remova o compromisso da sua agenda.",Improdutivo
"A pesquisa de mercado anual está completa e o relatório final foi disponibilizado na pasta compartilhada. Este é um e-mail de notificação de disponibilidade.",Improdutivo
"Estou entrando em licença-maternidade a partir de amanhã. Para emergências, favor contatar [Nome do Substituto]. Este e-mail é para me despedir e desejar sucesso a todos!",Improdutivo
"Lembrete: O refeitório estará fechado para limpeza especial na próxima quarta-feira, das 14h às 16h. Favor almoçar antes ou depois deste horário. Sem necessidade de ação.",Improdutivo
"O time de QA confirmou que o bug reportado na semana passada foi resolvido. A versão corrigida já está em produção. Não é necessária nenhuma verificação de sua parte.",Improdutivo
"Compartilhando uma foto do nosso happy hour de ontem. Foi muito divertido! Espero que todos tenham gostado. Sem necessidade de resposta.",Improdutivo
"A fatura de água está em dia. Este é o comprovante de pagamento, apenas para seu arquivo. Não há pendências.",Improdutivo
"Recebemos um grande número de currículos para a vaga de Desenvolvedor Sênior. As entrevistas começam na próxima semana. Apenas uma atualização do processo de Recrutamento.",Improdutivo
"Gostaria de parabenizar publicamente o time de TI pela rápida resposta ao problema de rede de ontem. O trabalho de vocês foi impecável e minimizou o downtime.",Improdutivo
"O meu e-mail está com problema de envio e pode ter gerado cópias duplicadas para alguns de vocês. Peço desculpas pela inconveniência. Desconsidere as cópias.",Improdutivo
"O time de Segurança lançou um novo guia sobre como evitar phishing. Leitura recomendada, mas sem caráter obrigatório ou prazos.",Improdutivo
"Apenas para informar que estarei trabalhando de casa hoje. Estarei acessível por e-mail e telefone, como de costume. Não haverá impacto nas tarefas.",Improdutivo
"O prazo de 7 dias para o envio de despesas de viagem expirou. Este é um lembrete automático. Se você já enviou, por favor, desconsidere. Caso contrário, envie o quanto antes.",Improdutivo
"Você sabia que hoje é o Dia Mundial do Café? Aproveite o café da nossa cozinha! É só uma curiosidade.",Improdutivo
"Obrigado por ter enviado a ata da reunião. Está tudo muito claro. Vou salvar no repositório. Pode seguir.",Improdutivo
"Nosso sistema está enviando um e-mail automático de alerta de inatividade. Por favor, ignore se você estiver trabalhando. É um falso positivo que será corrigido em breve.",Improdutivo
"Apenas para desejar uma boa semana a todos e um excelente início de mês. Que Outubro seja produtivo!",Improdutivo
"A biblioteca da empresa recebeu 50 novos livros sobre gestão e liderança. O catálogo atualizado está no link. Este e-mail é apenas para divulgar a novidade.",Improdutivo
"A notificação de reativação da conta do cliente 'Delta' é apenas para fins de registro. O time de Suporte já está ciente. Não há necessidade de ação da sua parte.",Improdutivo
"O time de Qualidade aprovou a versão beta do novo produto. É apenas um status interno para o histórico do projeto. O lançamento será comunicado separadamente.",Improdutivo
"A palestra de amanhã sobre 'Inovação Desruptiva' foi remarcada para o próximo mês. Peço desculpas pelo cancelamento. O novo convite será enviado oportunamente.",Improdutivo
"Gostaria de agradecer por ter me convidado para o seu aniversário. Infelizmente não poderei ir, mas te desejo tudo de melhor! Obrigado pelo convite.",Improdutivo
"Fiquei sabendo do excelente trabalho que você fez no projeto X. Parabéns pela dedicação e pelo resultado! Era apenas um elogio informal.",Improdutivo
"Anexei o código de barras para o pagamento da conta de água do escritório. Apenas para o registro. O pagamento será feito automaticamente pelo sistema hoje.",Improdutivo
"Olá, este é um e-mail automático de lembrete. Seu aniversário de 5 anos de empresa está se aproximando. O RH entrará em contato para mais detalhes. Parabéns!",Improdutivo